Identifier	Character	Dialogue	Filename	Line Number
ch_adam_810db67f	adam	[last_dialog]	game/ch_adam.rpy	11
ch_adam_5d3e994a	adam	Hello! Or as the kaldreans say "kevey"! Welcome to my humble living space and please make yourself comfortable. I'm always happy to meet new people! I'm Adam by the way.	game/ch_adam.rpy	14
ch_adam_cf0f4831	p	It's a pleasure to meet you Adam. I'm [alias.full]. But if we're on a first name basis, you can just call me [alias.first].	game/ch_adam.rpy	15
ch_adam_d6540aa7	adam	Likewise, [alias.first]. If there is anything I can get you just let me know, or perhaps you just want to ask some questions? I'm always open to converse.	game/ch_adam.rpy	16
ch_adam_ffd287d8	adam	I haven't seen you around, are you a new arrival?	game/ch_adam.rpy	18
ch_adam_afc4ff76	p	I am.	game/ch_adam.rpy	19
ch_adam_810db67f_1	adam	[last_dialog]	game/ch_adam.rpy	22
menu_adam_68e701ee	adam	[last_dialog]	game/ch_adam.rpy	27
adam_advice_f9d18705	p	Do you have any advice for a citizen new to Concord - particularly a diplomat?	game/ch_adam.rpy	46
adam_advice_915d8f6f	adam	To us, here, the person that you were before you arrived does not necessarily shape you.	game/ch_adam.rpy	48
adam_advice_f8f58bdf	adam	I have learned slowly but surely that the dynamic here is far different than Earth, the wonderful planet upon which I grew up.	game/ch_adam.rpy	50
adam_advice_f41f9f0d	adam	There, you are what you were – the person that is you becomes what others can gather by looking at your past.	game/ch_adam.rpy	52
adam_advice_361cee56	p	And the dynamic here is far different.	game/ch_adam.rpy	54
adam_advice_428c5792	adam	Exactly. Simply by saying that you've shown how it impresses upon you. Here, you are what you make yourself – we have the kaldreans to thank for this.	game/ch_adam.rpy	56
adam_advice_f117f483	adam	They judge based on ends rather than means. Not the best, but certainly different. But you can see that it has rubbed off on us.	game/ch_adam.rpy	58
adam_advice_1116630b	adam	Asking about one's past is generally regarded as very personal information to kaldreans – so be careful when jumping into this topic... anyone.	game/ch_adam.rpy	60
adam_advice_54de21fd	adam	Some will be ready and willing to share, others... not so much.	game/ch_adam.rpy	62
adam_advice_81399f57	p	And how do you find this - exchange?	game/ch_adam.rpy	64
adam_advice_ab240d23	adam	Personally, I do not mind it. I think it suits this new beacon of hope to have an entirely new culture to both races.	game/ch_adam.rpy	66
adam_advice_d8a3ffd9	p	Of course.	game/ch_adam.rpy	68
adam_events_f7cc920e	p	You seem like you're in the know about recent events. What do you think about these tensions?	game/ch_adam.rpy	74
adam_events_d69ede72	adam	It seems like a ploy to me - someone is looking for problems and they are eager to place blame wherever it may settle.	game/ch_adam.rpy	76
adam_events_8e0ce8ca	p	You think that someone is creating this tension on purpose.	game/ch_adam.rpy	78
adam_events_38b99a88	adam	There is such a thing as ambient tension, but then there is the reek of hate that clings to what we call "rumors."	game/ch_adam.rpy	80
adam_events_daeefe63	adam	I can smell it - and believe me, I know it because I've experienced it before. Concord, while a beacon for galactic peace, is equally fragile.	game/ch_adam.rpy	82
adam_events_7205f1e8	adam	Only fifty years a settlement - if I can remember its inception, then it is NOT old enough to be entirely stable.	game/ch_adam.rpy	84
adam_events_ee159fb4	adam	I only hope that this tension passes quickly, because the last thing we need now is another conflict we cannot weasel our way out of.	game/ch_adam.rpy	86
adam_alkay_dialog_1c3f696e	p	Actually, Alkay wanted me to talk to you.	game/ch_adam.rpy	92
